id,nombre_subserie/id,disposicion_final_ids/id,nombre_depen/id,reproduccion_tecnica,disposicion_ag,disposicion_ac
iss_117,subserie_111,dis_2,depen_4,0,1,9
iss_118,subserie_112,dis_2,depen_7,0,1,9
iss_119,subserie_113,dis_2,depen_7,0,1,9
iss_120,subserie_114,dis_2,depen_7,0,1,9
iss_121,subserie_115,dis_2,depen_6,0,1,9
iss_122,subserie_116,dis_2,depen_7,0,1,9
iss_123,subserie_117,dis_2,depen_6,0,1,9
iss_124,subserie_118,dis_2,depen_2,0,1,4
iss_125,subserie_119,dis_1,depen_1,0,1,19
iss_126,subserie_120,dis_2,depen_6,0,1,4
iss_127,subserie_121,dis_1,depen_1,0,1,19
iss_128,subserie_122,dis_2,depen_9,0,1,9
iss_129,subserie_123,dis_2,depen_1,0,1,9
iss_130,subserie_124,dis_2,depen_8,0,1,4
iss_131,subserie_125,dis_2,depen_8,0,1,4
iss_132,subserie_126,dis_2,depen_8,0,1,4
iss_133,subserie_127,dis_2,depen_9,0,1,19
iss_134,subserie_128,dis_2,depen_2,0,1,4
iss_135,subserie_128,dis_2,depen_9,0,1,4
iss_136,subserie_129,dis_2,depen_9,0,1,4
iss_137,subserie_130,dis_2,depen_2,0,1,4
iss_138,subserie_131,dis_2,depen_1,0,1,4
iss_139,subserie_132,dis_2,depen_4,0,2,78
iss_140,subserie_133,dis_2,depen_4,0,1,9
iss_141,subserie_134,dis_1,depen_9,0,1,19
iss_142,subserie_135,dis_2,depen_8,0,1,2
iss_143,subserie_136,dis_2,depen_9,0,1,4
iss_144,subserie_137,dis_2,depen_9,0,1,9
iss_145,subserie_138,dis_2,depen_2,0,1,9
iss_146,subserie_139,dis_2,depen_4,0,1,9
iss_147,subserie_140,dis_2,depen_9,0,1,9
iss_148,subserie_141,dis_2,depen_6,0,1,9
iss_149,subserie_142,dis_2,depen_9,0,1,9
iss_150,subserie_143,dis_2,depen_9,0,1,9
iss_151,subserie_144,dis_1,depen_9,0,1,9
iss_152,subserie_145,dis_2,depen_4,0,1,9
iss_153,subserie_146,dis_2,depen_1,0,1,9
iss_154,subserie_147,dis_2,depen_1,0,1,9
iss_155,subserie_148,dis_2,depen_1,0,1,9
iss_156,subserie_149,dis_2,depen_1,0,1,9
iss_157,subserie_150,dis_2,depen_1,0,1,9
iss_158,subserie_151,dis_2,depen_3,0,1,4
iss_159,subserie_152,dis_2,depen_9,0,1,9
iss_160,subserie_153,dis_2,depen_8,0,1,9
iss_161,subserie_154,dis_2,depen_8,0,1,9
iss_162,subserie_155,dis_2,depen_9,0,1,19
iss_163,subserie_156,dis_2,depen_3,0,1,4
iss_164,subserie_156,dis_2,depen_6,0,1,4
iss_165,subserie_157,dis_2,depen_2,0,1,19
iss_166,subserie_158,dis_2,depen_2,0,1,19
iss_167,subserie_159,dis_2,depen_6,0,1,19
iss_168,subserie_160,dis_2,depen_1,0,1,19
iss_169,subserie_161,dis_2,depen_8,0,1,4
iss_170,subserie_162,dis_2,depen_2,0,1,4
iss_171,subserie_163,dis_2,depen_9,1,1,39
iss_172,subserie_164,dis_2,depen_8,0,1,9
iss_173,subserie_165,dis_2,depen_7,0,1,9
iss_174,subserie_166,dis_2,depen_8,0,1,4
iss_175,subserie_167,dis_2,depen_8,0,1,4
iss_176,subserie_168,dis_2,depen_9,0,1,2
iss_177,subserie_169,dis_2,depen_2,0,1,2
iss_178,subserie_170,dis_2,depen_2,0,1,2
iss_179,subserie_171,dis_2,depen_4,0,1,2
iss_180,subserie_172,dis_2,depen_4,0,1,9
iss_181,subserie_173,dis_2,depen_4,0,1,2
iss_182,subserie_174,dis_2,depen_1,0,1,9
iss_183,subserie_175,dis_2,depen_4,0,1,4
iss_184,subserie_176,dis_2,depen_1,0,1,9
iss_185,subserie_177,dis_2,depen_9,0,1,4
iss_186,subserie_178,dis_2,depen_9,0,1,9
iss_187,subserie_179,dis_2,depen_9,0,1,4
iss_188,subserie_180,dis_2,depen_9,0,1,9

